cluster,num_stations,avg_pm25,avg_pollution_index,avg_wind_speed,avg_wind_direction,center_lat,center_lon,is_hotspot,source_direction_compass,date
0,20,33.632306475291394,0.27951751424184856,3.586852143630332,99.92069526250208,28.57996073,77.219057545,False,E,2026-08-01
1,5,34.3572540353329,0.33822738821902515,3.635083742151134,101.99338662032653,28.6524389,77.14588064,True,ESE,2026-08-01
2,3,41.236507404917795,0.3388976659568487,3.6997235087074465,102.38957754084498,28.666783533333334,77.3112718,True,ESE,2026-08-01
3,4,43.10360922343786,0.3326374352667777,3.6439129945362527,101.62140248572155,28.635576375,77.35377542500001,True,ESE,2026-08-01
4,2,45.45194759896171,0.3238550393965637,3.521567902401038,100.22382567793557,28.741288949999998,77.11559075,True,E,2026-08-01
5,2,35.0463543936093,0.2515077620389822,3.6690390577705156,101.17062988691578,28.619788,77.27959849999999,False,E,2026-08-01
6,2,34.70923117709438,0.3432888869787226,3.6712743573435844,102.22790045318396,28.7482235,77.27623,True,ESE,2026-08-01
7,2,51.21704723933793,0.43972240453971934,3.613802791270992,101.50656062150921,28.697587,77.173559,True,ESE,2026-08-01
8,2,45.730840163934424,0.31384424420638746,3.5556506351092896,99.52964783300115,28.41255423526901,77.0757373241334,True,E,2026-08-01
9,2,44.28770703065426,0.30422198215936086,3.6145368597300593,99.74293453681577,28.4250905,77.147722,True,E,2026-08-01
0,20,29.35998152661785,0.2696065499242264,2.901385164436258,119.25675973122145,28.57996073,77.219057545,False,ESE,2026-08-02
1,5,29.83714830908151,0.3414420238459857,3.0400476929885287,118.30045452766103,28.6524389,77.14588064,True,ESE,2026-08-02
2,3,41.399937343358395,0.3515439139164702,2.8881092914015807,118.71179541803122,28.666783533333334,77.3112718,True,ESE,2026-08-02
3,4,36.4407954376247,0.31220643268465786,2.9422219349293206,119.18251608498491,28.635576375,77.35377542500001,True,ESE,2026-08-02
4,2,37.4455625,0.30259176439929164,2.913517056041667,115.82065705130071,28.741288949999998,77.11559075,True,ESE,2026-08-02
5,2,33.40991758241758,0.2493634490735551,2.9299880667582414,119.50119860508414,28.619788,77.27959849999999,False,ESE,2026-08-02
6,2,31.53816742081448,0.3442446074036041,2.9499703304460247,119.81041817347398,28.7482235,77.27623,True,ESE,2026-08-02
7,2,51.392361111111114,0.4317924614241813,2.966864141458333,118.68098250110302,28.697587,77.173559,True,ESE,2026-08-02
8,2,38.465666666666664,0.2941397508130661,3.0874328825833333,117.55029908182672,28.41255423526901,77.0757373241334,True,ESE,2026-08-02
9,2,35.14830158730159,0.30002626707533375,3.221747691349206,118.91429382421472,28.4250905,77.147722,True,ESE,2026-08-02
0,20,22.692255904882714,0.250643725163721,2.6937707124874875,124.08238943345634,28.57996073,77.219057545,False,SE,2026-08-03
1,5,23.26975119181982,0.30437345069491,2.7644186300073557,125.8779336423022,28.6524389,77.14588064,True,SE,2026-08-03
2,3,37.077267830209,0.31477415936792996,2.869587610967464,124.0658655375878,28.666783533333334,77.3112718,True,SE,2026-08-03
3,4,34.30939746475325,0.2915079242849213,2.819075040873769,122.7585346884876,28.635576375,77.35377542500001,True,ESE,2026-08-03
4,2,32.90129239766082,0.29308117380000964,2.7043868067836256,120.770297069158,28.741288949999998,77.11559075,True,ESE,2026-08-03
5,2,25.73504016064257,0.20129962012954078,2.872637984050488,116.58598097431104,28.619788,77.27959849999999,False,ESE,2026-08-03
6,2,33.337716727716725,0.36419703396479297,2.740289341147741,126.4114692821829,28.7482235,77.27623,True,SE,2026-08-03
7,2,43.270114942528735,0.4230328652253674,2.891060043471523,124.41512932800129,28.697587,77.173559,True,SE,2026-08-03
8,2,41.04706284153005,0.31398942192850743,2.4972873815232237,125.08786305967249,28.41255423526901,77.0757373241334,True,SE,2026-08-03
9,2,42.009647762516614,0.32173870221895534,2.722698449723084,119.05951498172914,28.4250905,77.147722,True,ESE,2026-08-03
0,20,20.66791063235721,0.2545287609934809,1.2445810022419534,189.4524598088198,28.57996073,77.219057545,True,S,2026-08-04
1,5,18.45352374744766,0.2880428737321095,1.4210956568245883,100.41875583564064,28.6524389,77.14588064,True,E,2026-08-04
2,3,33.32112686972022,0.32188975059659936,1.4069850600156035,93.64660342090531,28.666783533333334,77.3112718,True,E,2026-08-04
3,4,23.77565011541848,0.258435432307656,1.282343336739749,149.2868114915982,28.635576375,77.35377542500001,True,SSE,2026-08-04
4,2,27.194289244186045,0.2666229937656546,1.4469480529694767,83.43014220807964,28.741288949999998,77.11559075,True,E,2026-08-04
5,2,18.78754453538758,0.18998827649573863,0.9652352479995184,212.45405583142406,28.619788,77.27959849999999,False,SSW,2026-08-04
6,2,20.22826791186342,0.29961444375760937,1.4927996802342038,105.00597134563282,28.7482235,77.27623,True,ESE,2026-08-04
7,2,33.82317073170732,0.34905967268097987,1.5121538398170733,107.61851059034075,28.697587,77.173559,True,ESE,2026-08-04
8,2,46.72147988505748,0.34938731830102066,1.302862754920977,237.3669517112864,28.41255423526901,77.0757373241334,True,WSW,2026-08-04
9,2,29.652578273244785,0.28097218490431153,1.233045494881404,201.34067049757425,28.4250905,77.147722,True,SSW,2026-08-04
0,20,34.774244773816335,0.25271778996445093,1.269799251639553,278.92346549593566,28.57996073,77.219057545,False,W,2026-08-05
1,5,34.98286700884265,0.32594105598961143,1.1475039100645927,308.26298369246837,28.6524389,77.14588064,True,NW,2026-08-05
2,3,52.614935880190124,0.37411774734954806,1.1702103299963231,301.8497331887721,28.666783533333334,77.3112718,True,WNW,2026-08-05
3,4,51.89276590851009,0.3127716765517575,1.250838574054732,286.9634959157931,28.635576375,77.35377542500001,True,WNW,2026-08-05
4,2,47.303698630136985,0.25870859405116536,1.299262448659491,300.00094525862687,28.741288949999998,77.11559075,False,WNW,2026-08-05
5,2,33.77501875468867,0.1989232545765543,1.314179775067517,272.6627184957255,28.619788,77.27959849999999,False,W,2026-08-05
6,2,30.414386692381868,0.3258033318772946,1.1319891274522662,307.98589893325544,28.7482235,77.27623,True,NW,2026-08-05
7,2,57.082082551594745,0.40569266548337113,1.1531122486882426,306.95206581517914,28.697587,77.173559,True,NW,2026-08-05
8,2,59.60819805194805,0.32365873374809057,1.3110178992992423,268.81859623231503,28.41255423526901,77.0757373241334,True,W,2026-08-05
9,2,35.84477591036415,0.24252815296520028,1.3295041667717085,276.6409484864423,28.4250905,77.147722,False,W,2026-08-05
0,20,25.033922913365483,0.33219634740973814,1.9080501421971832,33.39606748346887,28.57996073,77.219057545,False,NNE,2026-08-06
1,5,19.758909654749978,0.3596954196463398,2.0083761460466523,42.482103587597294,28.6524389,77.14588064,True,NE,2026-08-06
2,3,34.33784257070309,0.43458142498189517,1.9836434393398126,50.14910125946085,28.666783533333334,77.3112718,True,NE,2026-08-06
3,4,31.56407970829388,0.3814575398968446,1.947260729687352,29.99949721437008,28.635576375,77.35377542500001,True,NNE,2026-08-06
4,2,28.121666666666666,0.3081089599948115,1.7366379211904763,62.84077498748758,28.741288949999998,77.11559075,False,ENE,2026-08-06
5,2,21.65826530612245,0.23556221729688065,1.8255520349489798,35.24770348188696,28.619788,77.27959849999999,False,NE,2026-08-06
6,2,12.959391233766233,0.3334288517725267,1.9645369342532468,43.427200309564796,28.7482235,77.27623,False,NE,2026-08-06
7,2,23.490806835388277,0.366663465901122,2.00247078880597,43.09569341779837,28.697587,77.173559,True,NE,2026-08-06
8,2,44.44000527426161,0.4438414380887693,1.5817178817246837,26.584425720290938,28.41255423526901,77.0757373241334,True,NNE,2026-08-06
9,2,26.28876461988304,0.3326825854174694,1.7736714445833333,28.73566417814112,28.4250905,77.147722,False,NNE,2026-08-06
0,20,22.71428708984787,0.26353236074655556,2.9298002879347735,39.875126050378526,28.57996073,77.219057545,False,NE,2026-08-07
1,5,16.71717767463366,0.2719527313985336,2.919854921118047,39.328883546538634,28.6524389,77.14588064,True,NE,2026-08-07
2,3,42.674650921218095,0.3965065899529436,2.9772290763648788,43.15671552664202,28.666783533333334,77.3112718,True,NE,2026-08-07
3,4,29.600994869167483,0.26541216802269163,2.9997492735232334,34.86819252953899,28.635576375,77.35377542500001,True,NE,2026-08-07
4,2,31.78711111111111,0.2467389966348771,2.815852557936508,31.706500912345973,28.741288949999998,77.11559075,False,NNE,2026-08-07
5,2,26.87248532289628,0.2062321214900132,3.1528549060273976,35.441326886707884,28.619788,77.27959849999999,False,NE,2026-08-07
6,2,12.874948405253285,0.2416596300489245,2.9931464035928705,40.64606375824485,28.7482235,77.27623,False,NE,2026-08-07
7,2,23.104537894986933,0.2930385371451738,3.0121669564979805,38.026524807970134,28.697587,77.173559,True,NE,2026-08-07
8,2,42.27986111111112,0.32914123434406206,2.8393737769290124,26.960868194742943,28.41255423526901,77.0757373241334,True,NNE,2026-08-07
9,2,22.965294871794875,0.26137050055275934,2.976085756730769,38.172849231734176,28.4250905,77.147722,False,NE,2026-08-07
0,5,33.93211493870168,0.2575322953280973,3.4049755967567856,90.21662232123043,28.6524389,77.14588064,True,E,2026-08-08
1,3,43.59698057703586,0.2979606445135646,3.4173744173147167,90.81893626928854,28.666783533333334,77.3112718,True,E,2026-08-08
2,19,32.31180147503927,0.20471997000115594,3.426000313443665,93.6727142305881,28.580839610526315,77.2207481,False,E,2026-08-08
3,4,41.77727519852384,0.23054440010789487,2.9103381646362525,87.42298132557147,28.635576375,77.35377542500001,True,E,2026-08-08
4,2,47.64984821428571,0.2058033292215648,3.3986169743973216,90.15345594329943,28.741288949999998,77.11559075,False,E,2026-08-08
5,2,42.8271777924653,0.2195929820364202,2.7001508447785856,91.82134852403948,28.619788,77.27959849999999,False,E,2026-08-08
6,2,32.417306449130365,0.2654759519023478,3.390046193835617,90.50140014076658,28.7482235,77.27623,True,E,2026-08-08
7,2,52.63866943866944,0.31454443734442655,3.5257435553326406,93.67883701610685,28.697587,77.173559,True,E,2026-08-08
8,2,57.663881086142325,0.2756177289166902,3.211002871395131,90.8704836785713,28.41255423526901,77.0757373241334,True,E,2026-08-08
9,2,64.29607816091954,0.31010680348492564,3.3677677048275863,95.39771364088091,28.4250905,77.147722,True,E,2026-08-08
0,20,35.88678034150566,0.21448736299089846,2.0116316378067616,111.99501014007245,28.57996073,77.219057545,False,ESE,2026-08-09
1,5,33.98735406416937,0.2638619619900555,2.009295620126387,110.74501214830264,28.6524389,77.14588064,True,ESE,2026-08-09
2,3,46.69964070831193,0.2833375608378772,1.9990373533618095,110.8825882840697,28.666783533333334,77.3112718,True,ESE,2026-08-09
3,4,38.214530148398154,0.188990518581125,2.0289172223270917,112.73855294199245,28.635576375,77.35377542500001,False,ESE,2026-08-09
4,2,49.96536796536796,0.22183729137149102,1.824753222835498,107.91413700743698,28.741288949999998,77.11559075,False,ESE,2026-08-09
5,2,30.013823529411766,0.14557667393961915,2.0884797175210084,112.70865214758874,28.619788,77.27959849999999,False,ESE,2026-08-09
6,2,42.89,0.31225694667323256,2.0326411788548953,111.28058651012122,28.7482235,77.27623,True,ESE,2026-08-09
7,2,56.91536004645761,0.3790503785476865,2.0107735859320557,112.34514621866919,28.697587,77.173559,True,ESE,2026-08-09
8,2,57.612715517241384,0.27328210576430817,1.8711485892241382,110.23142285682223,28.41255423526901,77.0757373241334,True,ESE,2026-08-09
9,2,48.06986666666667,0.24408477375982995,2.1317794696363634,111.62165386146847,28.4250905,77.147722,True,ESE,2026-08-09
0,20,34.77830432077592,0.252187508163826,2.062621561234938,88.14489869118256,28.57996073,77.219057545,False,E,2026-08-10
1,5,30.28941814395747,0.28674419721368477,1.96339248071523,89.7496229330252,28.6524389,77.14588064,True,E,2026-08-10
2,3,43.50753838276419,0.29615772630780757,1.98274078247623,86.91431445882631,28.666783533333334,77.3112718,True,E,2026-08-10
3,4,38.49458076389703,0.240049928675418,2.123609070452537,91.19293760029888,28.635576375,77.35377542500001,False,E,2026-08-10
4,2,42.28615520907158,0.21739091448354728,2.0008601406006377,83.13454906289076,28.741288949999998,77.11559075,False,E,2026-08-10
5,2,29.779555555555557,0.2032614495713137,2.114910011111111,77.83814982770303,28.619788,77.27959849999999,False,ENE,2026-08-10
6,2,35.320299987368955,0.34322169701586225,1.9875681594038146,88.67466347300973,28.7482235,77.27623,True,E,2026-08-10
7,2,46.14331550802139,0.3921498782736508,1.9107416936898396,82.33261948373837,28.697587,77.173559,True,E,2026-08-10
8,2,51.89265350877193,0.3060543614629452,2.1887307842105264,81.90867823386361,28.41255423526901,77.0757373241334,True,E,2026-08-10
9,2,43.93595998595998,0.27867744952784224,2.0968722585907336,88.8233247910432,28.4250905,77.147722,True,E,2026-08-10
0,19,43.951220599950055,0.2752871978854619,2.0873737854380656,93.38318348370836,28.581537363157896,77.21779184736842,True,E,2026-08-11
1,5,33.711369977108376,0.3306512820015645,2.1343464951822844,98.05958530036548,28.6524389,77.14588064,True,E,2026-08-11
2,3,44.67497959047666,0.29801991063794586,2.123311078534138,97.93655867689722,28.666783533333334,77.3112718,True,E,2026-08-11
3,4,43.24167736703561,0.266890042847848,2.1038624435593625,95.76751093964776,28.635576375,77.35377542500001,False,E,2026-08-11
4,2,45.97384417808219,0.24337508836961574,2.1127112418985448,99.03289900724621,28.741288949999998,77.11559075,False,E,2026-08-11
5,2,32.57679785330948,0.1902599877695223,2.048908360964222,88.62870721290466,28.619788,77.27959849999999,False,E,2026-08-11
6,2,22.099488017429195,0.26250983505884323,2.1568873543471314,98.10852786770647,28.7482235,77.27623,False,E,2026-08-11
7,2,57.004278074866306,0.3657717568432421,2.2187156874652407,96.74880830200209,28.697587,77.173559,True,E,2026-08-11
8,2,89.33651960784314,0.4187152708814717,2.073985390593137,97.58168106433993,28.41255423526901,77.0757373241334,True,E,2026-08-11
9,2,76.1532509157509,0.3725602982426544,2.097858974313187,90.59806183904732,28.4250905,77.147722,True,E,2026-08-11
0,19,47.603071158853375,0.26280921709953575,1.0304167795350538,303.7711380068672,28.581537363157896,77.21779184736842,False,NW,2026-08-12
1,5,50.11697345167467,0.3489457177504903,1.0219320728692893,265.5195371518997,28.6524389,77.14588064,True,W,2026-08-12
2,3,60.51593874980972,0.3218120807665195,0.9908972311874779,277.19463241950587,28.666783533333334,77.3112718,True,W,2026-08-12
3,4,52.77747160165717,0.2829303773366649,0.9908007138212097,286.795607480631,28.635576375,77.35377542500001,True,WNW,2026-08-12
4,2,61.888574603174604,0.27946376529183714,0.9382910689492063,0.02472112909350699,28.741288949999998,77.11559075,True,N,2026-08-12
5,2,39.84650793650793,0.18361315004332326,1.0169633316626983,314.74216959576734,28.619788,77.27959849999999,False,NW,2026-08-12
6,2,40.40913199426112,0.304437614059548,0.990652272033716,269.4418543637645,28.7482235,77.27623,True,W,2026-08-12
7,2,74.03024944154876,0.3603460838680554,0.9690423348250186,254.62628101606091,28.697587,77.173559,True,WSW,2026-08-12
8,2,63.25023148148148,0.3006386220357377,0.9680192606558642,28.150040526608564,28.41255423526901,77.0757373241334,True,NNE,2026-08-12
9,2,60.392757483510906,0.2799257263667599,1.0296155850989344,310.4869054575271,28.4250905,77.147722,True,NW,2026-08-12
0,19,39.75526965386014,0.27407027324107136,2.127750316215169,255.4265135759912,28.581537363157896,77.21779184736842,False,WSW,2026-08-13
1,5,37.80153829694281,0.34102410158976426,2.1481357878869516,252.58236748853616,28.6524389,77.14588064,True,WSW,2026-08-13
2,3,51.45070276806149,0.3609436026418429,2.1337542297327805,251.5324469991322,28.666783533333334,77.3112718,True,WSW,2026-08-13
3,3,40.92953301677746,0.33038824359023183,2.1527450753909463,252.93468785073895,28.643705166666667,77.35768056666667,True,WSW,2026-08-13
4,2,56.91195302445303,0.2919957662632777,2.1403491439510938,253.47519845354486,28.741288949999998,77.11559075,False,WSW,2026-08-13
5,2,32.6410581061693,0.24013925441037476,2.131500142496413,256.2951602634844,28.619788,77.27959849999999,False,WSW,2026-08-13
6,2,46.958010256410255,0.3960508181642799,2.1402948153589745,251.0391158592239,28.7482235,77.27623,True,WSW,2026-08-13
7,2,81.78641358641359,0.3929979028418584,2.101753688951049,255.2874690989633,28.697587,77.173559,True,WSW,2026-08-13
8,2,56.78641666666667,0.32791487683690707,2.1009790790833334,256.82701210886955,28.41255423526901,77.0757373241334,True,WSW,2026-08-13
9,2,43.86075044091711,0.24468981459270378,2.143634162627866,255.1412981436363,28.4250905,77.147722,False,WSW,2026-08-13
0,19,31.763911722799804,0.23729672011567943,1.509153070579456,139.49063016289313,28.581537363157896,77.21779184736842,False,SE,2026-08-14
1,5,26.595844000461284,0.29247693772356403,1.7261625840636583,133.9012126519233,28.6524389,77.14588064,True,SE,2026-08-14
2,3,47.240183180800976,0.3620158468446622,1.717708884670099,139.2971533592368,28.666783533333334,77.3112718,True,SE,2026-08-14
3,3,31.248397311976433,0.2484803275111278,1.618658490601123,135.7461556608464,28.643705166666667,77.35768056666667,False,SE,2026-08-14
4,2,43.95031678082192,0.26664143555422887,1.8182015232020547,153.17873366906554,28.741288949999998,77.11559075,True,SSE,2026-08-14
5,2,21.166086706861904,0.16694311227864367,1.4831417859532012,133.33484493744209,28.619788,77.27959849999999,False,SE,2026-08-14
6,2,31.481019607843137,0.302905117803678,1.7321019918702867,138.18818234900084,28.7482235,77.27623,True,SE,2026-08-14
7,2,57.41834365325077,0.355366868960292,1.7237502904411763,128.96858618904332,28.697587,77.173559,True,SE,2026-08-14
8,2,51.482657657657654,0.32126399266357375,1.4474298708164413,162.5459822265168,28.41255423526901,77.0757373241334,True,SSE,2026-08-14
9,2,41.574164102564104,0.2553388909689238,1.464562233897436,140.07179864504542,28.4250905,77.147722,True,SE,2026-08-14
0,11,41.68315897298825,0.29396954577701195,1.9030750440649091,310.5327726847868,28.54942449090909,77.21368712727272,True,NW,2026-08-15
1,5,33.51620951386169,0.344597592651906,1.7894901430631704,285.5394618081292,28.6524389,77.14588064,True,WNW,2026-08-15
2,3,49.38020594752621,0.37979513036052176,1.8180056419978399,301.3751392170765,28.666783533333334,77.3112718,True,WNW,2026-08-15
3,7,34.986761752595086,0.2783477752582316,1.8478816677053336,289.12803551559193,28.630530857142855,77.22288275714286,False,WNW,2026-08-15
4,3,36.63649772579597,0.2880270866977862,1.8509081218884225,288.625232485762,28.643705166666667,77.35768056666667,True,WNW,2026-08-15
5,2,37.14671798848028,0.23118323566054222,1.5785247373077094,278.2729685085123,28.741288949999998,77.11559075,False,W,2026-08-15
6,2,30.376753086419754,0.2005834609495209,1.9331915145987655,309.3104714500552,28.619788,77.27959849999999,False,NW,2026-08-15
7,2,28.10954722492697,0.30482229226063584,1.850422799736287,283.41746303881615,28.7482235,77.27623,True,WNW,2026-08-15
8,2,46.34311594202899,0.2788281742375398,1.8914210446150364,285.5839628901315,28.697587,77.173559,False,WNW,2026-08-15
9,2,58.303749999999994,0.3430150849164867,1.846378994375,288.7222676653607,28.41255423526901,77.0757373241334,True,WNW,2026-08-15
10,2,62.69450833333333,0.36639879567288924,1.9110820738333334,313.20091950099504,28.4250905,77.147722,True,NW,2026-08-15
0,19,31.80458832442513,0.22935254607777067,2.821747071599969,263.12451100689447,28.581537363157896,77.21779184736842,False,W,2026-08-16
1,5,28.386281496514403,0.3209423582418348,2.6903081942876454,253.33530123686526,28.6524389,77.14588064,True,WSW,2026-08-16
2,3,49.98156565656566,0.3729784409702042,2.704650358488456,258.62544822759753,28.666783533333334,77.3112718,True,WSW,2026-08-16
3,3,31.325305574903904,0.25234500938175203,2.7319796627300263,258.4449554970814,28.643705166666667,77.35768056666667,True,WSW,2026-08-16
4,2,37.54759416195857,0.24100215205142983,3.047405016984463,264.1118836438966,28.741288949999998,77.11559075,False,W,2026-08-16
5,2,26.566298701298702,0.1780219452884006,2.891473535064935,265.47734564106815,28.619788,77.27959849999999,False,W,2026-08-16
6,2,41.49987872487873,0.3462330194872174,2.776553034078309,259.9074516317331,28.7482235,77.27623,True,W,2026-08-16
7,2,46.156895403064624,0.2722763938553978,2.785858851290806,260.1497587950841,28.697587,77.173559,True,W,2026-08-16
8,2,42.8349856321839,0.2443643783533599,3.119903133405172,262.44604949518737,28.41255423526901,77.0757373241334,False,W,2026-08-16
