cluster,num_stations,avg_pm25,avg_pollution_index,center_lat,center_lon
8,2,50.39886002272238,0.4022307760445619,28.41255423526901,77.0757373241334
7,2,48.799527758240586,0.3888839568027682,28.697587,77.173559
2,3,51.369849038072935,0.3881383812047144,28.666783533333334,77.3112718
1,5,31.546950756640115,0.3642940124194614,28.6524389,77.14588064
6,2,37.61682680462576,0.3550367886092253,28.7482235,77.27623
0,20,33.94064742941166,0.2960007212506104,28.57996073,77.219057545
9,2,47.248214529027706,0.29489687404862025,28.4250905,77.147722
3,4,42.8831850800084,0.2930694839976843,28.635576375,77.35377542500001
4,2,42.646355639802664,0.27799078758439505,28.741288949999998,77.11559075
5,2,31.87803240516476,0.2397868012560263,28.619788,77.27959849999999
