station_id,station_name,lat,lon,pm25,pm10,no2,so2,co,o3,pollution_index,cluster,pollutants_available
17,"R K Puram, Delhi - DPCC",28.563262,77.186937,44.69584792396198,103.53523316062176,28.20982510288066,10.06589386913962,1.0124794238683128,21.760744031093836,0.33328841410148646,0,6
50,"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023,37.802829758101325,111.24506654428637,19.943342516069787,30.979650315687227,0.897509225092251,20.038898652606914,0.41399887456275136,1,6
235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,86.97245322245323,233.0620458356624,27.737891440501045,19.576326742976065,2.3746830601092896,5.87198093220339,0.622387917580813,2,6
301,"Vikas Sadan, Gurugram - HSPCB",28.4501238,77.0263051,55.0533495145631,78.26425449247208,6.64495386109762,11.867200496585973,0.7649440933398153,15.069892787524365,0.264874213532708,-1,6
5404,"Pusa, Delhi - IMD",28.639645,77.146263,28.820920096852298,74.79288499025341,31.234529324790536,,0.6450242718446602,43.18576923076923,0.33028842505338896,1,5
5541,"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,33.12002506265664,82.58286079836233,15.596270325203252,,0.9995328980411853,31.818134171907758,0.2986339863593472,-1,5
5570,"Aya Nagar, New Delhi - IMD",28.474261,77.131606,28.699658536585368,77.50069607843137,17.964133601205422,,0.5704880429477794,22.279546120058566,0.2177584599221219,-1,5
5586,"Sirifort, Delhi - CPCB",28.5504249,77.2159377,43.51116060482223,96.58951349141456,23.065545565999184,23.751331967213115,0.6276542705353494,17.85380073800738,0.3536778299887307,0,6
5598,"Sector - 125, Noida, UP - UPPCB",28.5447608,77.3231257,34.523219814241486,123.74933569530558,19.961095372993388,6.432504604051565,0.5582556463238828,25.92655421686747,0.27952897976712715,-1,6
5610,"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,37.07747619047619,93.66105815061964,97.78774070543375,,0.9226300715990454,47.74710590531967,0.5550486965528334,1,5
5613,"ITO, New Delhi - CPCB",28.628624,77.24106,34.92253521126761,89.91545042778057,47.53409669211196,20.956890848952593,1.1080983772819473,26.75626911314985,0.4192646486005065,0,6
5616,"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,38.03555408388521,83.0228899690676,24.52232229795521,,0.5136305147058824,31.50586268390548,0.2915205892368581,3,5
5622,"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,18.387369791666668,63.97736842105264,26.263740157480317,11.491564136125655,1.6664957264957263,35.768953564421196,0.33684465975260885,-1,6
5626,"DTU, New Delhi - CPCB",28.7500499,77.1112615,35.365146865409905,68.79597807017544,16.911080123948647,24.74123629986848,0.35332310390179744,18.758768084173607,0.2920190369425178,4,6
5627,"CRRI Mathura Road, New Delhi - IMD",28.5512005,77.2735737,33.31280387409201,99.74478754940712,24.701178909952606,,0.7815281234444997,22.23041185334003,0.28353454697848945,0,5
5630,"Shadipur, Delhi - CPCB",28.6514781,77.1473105,23.857173447537473,62.10493079584775,34.44800604229607,12.367333333333333,0.6271838565022422,23.00195960464117,0.2577646219412822,1,6
5634,"Lodhi Road, New Delhi - IMD",28.5918245,77.2273074,30.723122003196593,83.93882666666666,11.019246794871794,,0.508663816141101,25.49968432316747,0.22185514541158557,0,5
5650,"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,25.70424940047962,92.13687800192123,45.11316046966732,,0.7647429679922406,54.60221303501945,0.4247623272966942,-1,5
5665,"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563,40.74184927846072,120.68973471741637,33.71552132701422,9.233892215568863,0.6590508862206976,30.66542980828695,0.35159951045728954,3,6
6356,"Pusa, Delhi - DPCC",28.639645,77.146262,30.176354290233295,111.94799523620485,30.021753116204266,6.737538060026099,1.4231472527472526,3.4219533655961287,0.26436944398705126,1,6
6358,"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,34.09748743718593,89.20292781423524,16.941583113456463,16.19871244635193,1.2755493387589014,12.833787191124559,0.30113684764656146,0,6
6359,"IHBAS, Dilshad Garden,New Delhi - CPCB",28.6811736,77.3025234,32.51798561151079,66.72704031465094,22.487193158953723,13.96783558792924,0.946030902945437,15.003597678916828,0.2613794881961619,2,6
6924,"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075,34.17141377524599,76.26813880126183,28.458954393770856,11.66509783183501,0.4442093901780896,24.817584080717488,0.27021134518630224,3,6
6929,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,25.810663308144417,76.56027164685908,27.450936819172114,11.782522217520102,0.7304353338968723,21.411653344551958,0.26012027903196105,0,6
6931,"Dwarka-Sector 8, Delhi - DPCC",28.5710274,77.0719006,23.597119161938018,136.02790079716564,30.588199031263763,12.616937469226981,0.7381117620549797,11.855399274047187,0.2886982584016507,-1,6
6932,"Alipur, Delhi - DPCC",28.815329,77.15301,34.17806731813246,111.29294052251251,38.881632653061224,5.423879750425411,0.5447860156720916,9.097536394176933,0.24197823018093687,-1,6
6934,"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,29.558139534883722,81.66412601626017,16.567142129393783,5.148511293634496,0.6991098677517803,16.495245398773008,0.19784984140149456,-1,6
6936,"Arya Nagar, Bahadurgarh - HSPCB",28.6701,76.9254,30.671065114273393,67.73893919793015,20.88792820069204,6.17903588413316,0.6301298701298701,39.38968302214503,0.2701106143535968,-1,6
6938,"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,34.61910828025478,96.20960884353741,29.77156357388316,6.545234899328859,0.9693219597550305,19.744877144181732,0.2806477378371684,2,6
6957,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829,39.76320272572402,85.5881841876629,19.63034868704262,9.172063492063494,0.9795796460176991,28.344963566223747,0.3057921264835252,0,6
6960,"Patparganj, Delhi - DPCC",28.623748,77.287205,26.4204440333025,90.36578581363004,23.601862197392926,3.8673585884795014,0.9243334949103248,13.262785171102662,0.2092500171353048,5,6
6978,"Knowledge Park - III, Greater Noida - UPPCB",28.47272,77.482,31.36611437733832,108.18298824846111,20.92142076502732,5.656889872717211,0.6732235035694674,32.80755845568243,0.28629635235738665,-1,6
6980,"Sector-1, Noida - UPPCB",28.589247,77.321962,29.851074986890403,100.76988335100742,32.10435041716329,7.381907894736842,1.3841003460207613,39.042993456924755,0.3726238246087303,-1,6
6986,"Knowledge Park - V, Greater Noida - UPPCB",28.557054,77.453663,32.755443886097154,157.5466778805719,25.527125160187953,5.9159750111557345,0.2328545861297539,47.40216177861873,0.36090370620149453,-1,6
6988,"Sector-116, Noida - UPPCB",28.56923,77.393848,50.70093079724808,127.26869350862778,27.780123203285424,9.6144921552436,0.5952673021135516,55.503021201413425,0.4440887047038012,-1,6
7005,"Loni, Ghaziabad - UPPCB",28.757294,77.278792,34.58232931726908,124.08076751450245,26.57514874141876,11.093653250773993,0.9327938432835822,26.77149253731343,0.34477220393357544,6,6
8118,New Delhi,28.63576,77.22445,33.99719495091164,,,,,,0.36111604086412563,0,1
8235,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,46.9121699196326,138.86306098964326,19.484771279675737,10.831542056074765,1.673672150411281,11.169190448456611,0.3663580503036587,-1,6
8239,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,32.516666666666666,90.0404,21.777848605577688,6.5670140280561125,0.9788350680544436,13.334677087618264,0.23659168747059892,0,6
8365,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,36.304662379421224,111.39205955334988,25.996462361168245,7.474463425317565,1.0536035242290749,15.636643124221022,0.28807991774946096,0,6
8472,"Bawana, Delhi - DPCC",28.7762,77.051074,65.71007121057986,108.23041709053916,6.543856041131105,8.868293936279548,0.8806786632390746,12.181259600614439,0.29435620304328586,-1,6
8475,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,41.80364900086881,101.07211120764552,21.104079782411603,6.0573886193206885,1.3723951048951049,26.092124105011933,0.3273203089745581,-1,6
8915,"Wazirpur, Delhi - DPCC",28.699793,77.165453,58.7887323943662,183.44363791631085,33.10264666960741,15.466141042487953,1.2622395157803719,10.298354978354979,0.4508384534936733,7,6
8917,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,38.81032312211498,101.91645675902603,20.673826947912183,13.76060475161987,1.655376668101593,8.808788395904436,0.3269294601118632,7,6
10484,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,28.191945158526135,80.0197086546701,16.287906772207563,22.858743961352655,0.9522660753880267,12.703019378098242,0.2954269918970223,0,6
10485,"Narela, Delhi - DPCC",28.822836,77.101981,29.65091528309919,84.35683576956148,18.785658914728682,7.9771861471861465,0.7212857142857143,19.568104982206407,0.23139899769595015,-1,6
